age_id,age_bracket,person_id
3,Teen,834
2,Adults,835
2,Adults,836
3,Teen,836
5,Elders (65+),836
1,Preteen,837
2,Adults,837
3,Teen,837
4,Children (6 to 10),837
5,Elders (65+),837
2,Adults,838
5,Elders (65+),838
0,Toddler,839
1,Preteen,839
2,Adults,839
3,Teen,839
4,Children (6 to 10),839
0,Toddler,840
1,Preteen,840
2,Adults,840
3,Teen,840
4,Children (6 to 10),840
5,Elders (65+),840
2,Adults,841
5,Elders (65+),841
2,Adults,842
3,Teen,842
5,Elders (65+),842
2,Adults,843
2,Adults,844
3,Teen,844
5,Elders (65+),844
0,Toddler,845
4,Children (6 to 10),845
2,Adults,846
2,Adults,847
5,Elders (65+),847
2,Adults,848
2,Adults,849
3,Teen,849
2,Adults,850
3,Teen,850
5,Elders (65+),850
2,Adults,851
3,Teen,851
2,Adults,852
3,Teen,852
1,Preteen,853
2,Adults,853
3,Teen,853
4,Children (6 to 10),853
2,Adults,854
5,Elders (65+),854
1,Preteen,855
2,Adults,855
3,Teen,855
4,Children (6 to 10),855
5,Elders (65+),855
2,Adults,856
5,Elders (65+),856
2,Adults,857
5,Elders (65+),857
1,Preteen,859
2,Adults,859
3,Teen,859
2,Adults,860
5,Elders (65+),860
1,Preteen,861
2,Adults,861
3,Teen,861
2,Adults,862
1,Preteen,863
2,Adults,863
3,Teen,863
5,Elders (65+),863
2,Adults,864
2,Adults,865
5,Elders (65+),865
2,Adults,866
5,Elders (65+),866
1,Preteen,867
2,Adults,867
3,Teen,867
4,Children (6 to 10),867
0,Toddler,868
1,Preteen,868
2,Adults,868
3,Teen,868
4,Children (6 to 10),868
5,Elders (65+),868
2,Adults,869
3,Teen,869
5,Elders (65+),869
2,Adults,870
0,Toddler,871
1,Preteen,871
2,Adults,871
3,Teen,871
4,Children (6 to 10),871
2,Adults,872
3,Teen,872
2,Adults,873
1,Preteen,874
2,Adults,874
3,Teen,874
5,Elders (65+),874
2,Adults,875
3,Teen,875
5,Elders (65+),875
0,Toddler,876
1,Preteen,876
2,Adults,876
3,Teen,876
4,Children (6 to 10),876
2,Adults,877
5,Elders (65+),877
1,Preteen,878
2,Adults,878
3,Teen,878
4,Children (6 to 10),878
2,Adults,879
5,Elders (65+),879
2,Adults,880
3,Teen,880
5,Elders (65+),880
1,Preteen,881
2,Adults,881
3,Teen,881
4,Children (6 to 10),881
5,Elders (65+),881
1,Preteen,882
2,Adults,882
3,Teen,882
5,Elders (65+),882
2,Adults,883
4,Children (6 to 10),883
5,Elders (65+),883
2,Adults,885
1,Preteen,886
2,Adults,886
3,Teen,886
5,Elders (65+),886
2,Adults,887
3,Teen,887
1,Preteen,888
2,Adults,888
3,Teen,888
2,Adults,889
2,Adults,890
3,Teen,890
5,Elders (65+),890
2,Adults,891
5,Elders (65+),891
1,Preteen,892
2,Adults,892
3,Teen,892
5,Elders (65+),892
2,Adults,893
3,Teen,893
5,Elders (65+),893
2,Adults,894
3,Teen,894
2,Adults,895
3,Teen,895
1,Preteen,896
2,Adults,896
3,Teen,896
1,Preteen,897
2,Adults,897
3,Teen,897
2,Adults,898
2,Adults,899
5,Elders (65+),899
0,Toddler,900
1,Preteen,900
2,Adults,900
3,Teen,900
4,Children (6 to 10),900
5,Elders (65+),900
2,Adults,901
5,Elders (65+),901
1,Preteen,902
2,Adults,902
3,Teen,902
4,Children (6 to 10),902
5,Elders (65+),902
2,Adults,903
0,Toddler,904
1,Preteen,904
2,Adults,904
3,Teen,904
4,Children (6 to 10),904
2,Adults,905
5,Elders (65+),905
2,Adults,906
1,Preteen,907
2,Adults,907
3,Teen,907
4,Children (6 to 10),907
2,Adults,908
2,Adults,909
3,Teen,909
2,Adults,910
3,Teen,910
5,Elders (65+),910
2,Adults,911
3,Teen,911
2,Adults,912
2,Adults,914
5,Elders (65+),914
2,Adults,915
5,Elders (65+),915
1,Preteen,916
2,Adults,916
3,Teen,916
4,Children (6 to 10),916
5,Elders (65+),916
1,Preteen,917
2,Adults,917
3,Teen,917
2,Adults,918
5,Elders (65+),918
0,Toddler,919
1,Preteen,919
3,Teen,919
4,Children (6 to 10),919
1,Preteen,920
2,Adults,920
3,Teen,920
5,Elders (65+),920
1,Preteen,921
2,Adults,921
3,Teen,921
4,Children (6 to 10),921
5,Elders (65+),921
1,Preteen,922
2,Adults,922
3,Teen,922
4,Children (6 to 10),922
5,Elders (65+),922
1,Preteen,923
2,Adults,923
3,Teen,923
2,Adults,924
3,Teen,924
2,Adults,925
3,Teen,925
4,Children (6 to 10),925
2,Adults,926
3,Teen,926
5,Elders (65+),926
2,Adults,928
3,Teen,928
5,Elders (65+),928
1,Preteen,929
2,Adults,929
3,Teen,929
2,Adults,930
2,Adults,931
3,Teen,931
5,Elders (65+),931
1,Preteen,932
2,Adults,932
3,Teen,932
5,Elders (65+),932
2,Adults,933
5,Elders (65+),933
1,Preteen,935
2,Adults,935
3,Teen,935
2,Adults,936
3,Teen,936
5,Elders (65+),936
2,Adults,937
3,Teen,937
5,Elders (65+),937
1,Preteen,938
2,Adults,938
3,Teen,938
5,Elders (65+),938
0,Toddler,939
1,Preteen,939
2,Adults,939
3,Teen,939
4,Children (6 to 10),939
5,Elders (65+),939
2,Adults,940
3,Teen,940
5,Elders (65+),940
2,Adults,941
3,Teen,941
2,Adults,942
3,Teen,942
2,Adults,943
2,Adults,944
2,Adults,945
1,Preteen,946
2,Adults,946
3,Teen,946
5,Elders (65+),946
1,Preteen,947
2,Adults,947
3,Teen,947
4,Children (6 to 10),947
5,Elders (65+),947
1,Preteen,948
2,Adults,948
3,Teen,948
4,Children (6 to 10),948
5,Elders (65+),948
2,Adults,949
3,Teen,949
5,Elders (65+),949
2,Adults,950
1,Preteen,951
2,Adults,951
3,Teen,951
4,Children (6 to 10),951
5,Elders (65+),951
2,Adults,952
5,Elders (65+),952
2,Adults,953
3,Teen,953
2,Adults,954
3,Teen,954
1,Preteen,955
2,Adults,955
4,Children (6 to 10),955
2,Adults,956
5,Elders (65+),956
1,Preteen,957
2,Adults,957
3,Teen,957
2,Adults,958
0,Toddler,959
1,Preteen,959
2,Adults,959
3,Teen,959
4,Children (6 to 10),959
1,Preteen,960
2,Adults,960
3,Teen,960
2,Adults,961
5,Elders (65+),961
2,Adults,962
3,Teen,962
5,Elders (65+),962
2,Adults,963
5,Elders (65+),963
0,Toddler,964
1,Preteen,964
2,Adults,964
3,Teen,964
4,Children (6 to 10),964
2,Adults,965
1,Preteen,966
2,Adults,966
3,Teen,966
2,Adults,967
1,Preteen,968
2,Adults,968
3,Teen,968
5,Elders (65+),968
2,Adults,969
2,Adults,970
3,Teen,970
1,Preteen,971
2,Adults,971
3,Teen,971
4,Children (6 to 10),971
5,Elders (65+),971
2,Adults,972
3,Teen,972
5,Elders (65+),972
2,Adults,973
5,Elders (65+),973
0,Toddler,974
1,Preteen,974
2,Adults,974
3,Teen,974
4,Children (6 to 10),974
5,Elders (65+),974
2,Adults,975
5,Elders (65+),975
0,Toddler,976
1,Preteen,976
2,Adults,976
3,Teen,976
4,Children (6 to 10),976
5,Elders (65+),976
2,Adults,978
5,Elders (65+),978
0,Toddler,979
1,Preteen,979
2,Adults,979
3,Teen,979
4,Children (6 to 10),979
5,Elders (65+),979
1,Preteen,980
2,Adults,980
3,Teen,980
2,Adults,981
3,Teen,981
0,Toddler,983
1,Preteen,983
2,Adults,983
3,Teen,983
4,Children (6 to 10),983
2,Adults,984
3,Teen,984
5,Elders (65+),984
1,Preteen,985
2,Adults,985
3,Teen,985
2,Adults,986
3,Teen,986
5,Elders (65+),986
2,Adults,987
3,Teen,987
5,Elders (65+),987
2,Adults,988
1,Preteen,989
2,Adults,989
3,Teen,989
2,Adults,991
2,Adults,992
3,Teen,992
4,Children (6 to 10),992
5,Elders (65+),992
1,Preteen,993
2,Adults,993
3,Teen,993
4,Children (6 to 10),993
5,Elders (65+),993
0,Toddler,994
1,Preteen,994
