disease_wiki_id,drug_id
Q178190,https://www.drugs.com/venlafaxine.html
Q178190,https://www.drugs.com/risperidone.html
Q18555117,https://www.drugs.com/naltrexone.html
Q18555117,https://www.drugs.com/buprenorphine.html
Q18555117,https://www.drugs.com/mtm/nalmefene.html
Q18555117,https://www.drugs.com/naloxone.html
Q17154378,https://www.drugs.com/naloxone.html
Q1639178,https://www.drugs.com/buprenorphine.html
Q1328833,https://www.drugs.com/risperidone.html
Q1328833,https://www.drugs.com/mtm/chlorpromazine.html
Q741713,https://www.drugs.com/temazepam.html
Q741713,https://www.drugs.com/paroxetine.html
Q741713,https://www.drugs.com/mtm/maprotiline.html
Q741713,https://www.drugs.com/clonazepam.html
Q741713,https://www.drugs.com/sertraline.html
Q741713,https://www.drugs.com/propranolol.html
Q741713,https://www.drugs.com/mtm/imipramine.html
Q741713,https://www.drugs.com/mtm/fluvoxamine.html
Q741713,https://www.drugs.com/diazepam.html
Q741713,https://www.drugs.com/mtm/clomipramine.html
Q741713,https://www.drugs.com/fluoxetine.html
Q741713,https://www.drugs.com/alprazolam.html
Q270673,https://www.drugs.com/risperidone.html
Q270673,https://www.drugs.com/quetiapine.html
Q270673,https://www.drugs.com/aripiprazole.html
Q6691991,https://www.drugs.com/risperidone.html
Q202387,https://www.drugs.com/risperidone.html
Q202387,https://www.drugs.com/mtm/lamotrigine.html
Q202387,https://www.drugs.com/mtm/topiramate.html
Q202387,https://www.drugs.com/aripiprazole.html
Q202387,https://www.drugs.com/sertraline.html
Q202387,https://www.drugs.com/mtm/nefazodone.html
Q202387,https://www.drugs.com/mtm/tranylcypromine.html
Q202387,https://www.drugs.com/venlafaxine.html
Q202387,https://www.drugs.com/mtm/prazosin.html
Q202387,https://www.drugs.com/escitalopram.html
Q202387,https://www.drugs.com/alprazolam.html
Q202387,https://www.drugs.com/clonazepam.html
Q202387,https://www.drugs.com/fluoxetine.html
Q202387,https://www.drugs.com/paroxetine.html
Q202387,https://www.drugs.com/quetiapine.html
Q935129,https://www.drugs.com/sertraline.html
Q18554007,https://www.drugs.com/mtm/ospemifene.html
Q170082,https://www.drugs.com/mtm/haloperidol.html
Q170082,https://www.drugs.com/mtm/brexpiprazole.html
Q170082,https://www.drugs.com/mtm/ziprasidone.html
Q170082,https://www.drugs.com/mtm/amoxapine.html
Q170082,https://www.drugs.com/mtm/pimavanserin.html
Q170082,https://www.drugs.com/aripiprazole.html
Q170082,https://www.drugs.com/mtm/paliperidone.html
Q170082,https://www.drugs.com/mtm/lurasidone.html
Q170082,https://www.drugs.com/quetiapine.html
Q170082,https://www.drugs.com/clozapine.html
Q170082,https://www.drugs.com/diazepam.html
Q170082,https://www.drugs.com/risperidone.html
Q170082,https://www.drugs.com/mtm/olanzapine.html
Q834047,https://www.drugs.com/mtm/haloperidol.html
Q834047,https://www.drugs.com/lithium.html
Q834047,https://www.drugs.com/mtm/lurasidone.html
Q834047,https://www.drugs.com/mtm/ziprasidone.html
Q834047,https://www.drugs.com/clozapine.html
Q834047,https://www.drugs.com/risperidone.html
Q834047,https://www.drugs.com/aripiprazole.html
Q834047,https://www.drugs.com/mtm/paliperidone.html
Q834047,https://www.drugs.com/mtm/olanzapine.html
Q834047,https://www.drugs.com/mtm/brexpiprazole.html
Q834047,https://www.drugs.com/quetiapine.html
Q41112,https://www.drugs.com/mtm/olanzapine.html
Q41112,https://www.drugs.com/mtm/pimozide.html
Q41112,https://www.drugs.com/aripiprazole.html
Q41112,https://www.drugs.com/mtm/paliperidone.html
Q41112,https://www.drugs.com/mtm/thioridazine.html
Q41112,https://www.drugs.com/mtm/perphenazine.html
Q41112,https://www.drugs.com/mtm/cariprazine.html
Q41112,https://www.drugs.com/mtm/brexpiprazole.html
Q41112,https://www.drugs.com/mtm/ziprasidone.html
Q41112,https://www.drugs.com/mtm/haloperidol.html
Q41112,https://www.drugs.com/risperidone.html
